fecha;cod_prov;provincia;casos_nuevos;casos_acum;incidencia;positividad;recuperados;defun_nuevos;defun_acum;procesadas
17/03/2020;2;Azua;;0;;;;;0;
17/03/2020;3;Baoruco;;0;;;;;0;
17/03/2020;4;Barahona;;0;;;;;0;
17/03/2020;5;Dajabón;;0;;;;;0;
17/03/2020;1;Distrito Nacional;;14;;;;;0;
17/03/2020;6;Duarte;;2;;;;;1;
17/03/2020;8;El Seibo;;0;;;;;0;
17/03/2020;7;Elías Piña;;0;;;;;0;
17/03/2020;9;Espaillat;;0;;;;;0;
17/03/2020;30;Hato Mayor;;0;;;;;0;
17/03/2020;19;Hermanas Mirabal;;2;;;;;0;
17/03/2020;10;Independencia;;0;;;;;0;
17/03/2020;11;La Altagracia;;2;;;;;0;
17/03/2020;12;La Romana;;0;;;;;0;
17/03/2020;13;La Vega;;0;;;;;0;
17/03/2020;14;María Trinidad Sánchez;;0;;;;;0;
17/03/2020;28;Monseñor Nouel;;0;;;;;0;
17/03/2020;15;Monte Cristi;;0;;;;;0;
17/03/2020;29;Monte Plata;;0;;;;;0;
17/03/2020;16;Pedernales;;0;;;;;0;
17/03/2020;17;Peravia;;0;;;;;0;
17/03/2020;18;Puerto Plata;;3;;;;;0;
17/03/2020;20;Samaná;;4;;;;;0;
17/03/2020;21;San Cristóbal;;0;;;;;0;
17/03/2020;31;San José de Ocoa;;0;;;;;0;
17/03/2020;22;San Juan;;1;;;;;1;
17/03/2020;23;San Pedro de Macorís;;1;;;;;1;
17/03/2020;24;Sánchez Ramírez;;0;;;;;0;
17/03/2020;25;Santiago;;3;;;;;0;
17/03/2020;26;Santiago Rodríguez;;0;;;;;0;
17/03/2020;32;Santo Domingo;;2;;;;;0;
17/03/2020;27;Valverde;;0;;;;;0;
18/03/2020;2;Azua;0;0;;;;0;0;
18/03/2020;3;Baoruco;0;0;;;;0;0;
18/03/2020;4;Barahona;0;0;;;;0;0;
18/03/2020;5;Dajabón;0;0;;;;0;0;
18/03/2020;1;Distrito Nacional;0;14;;;;0;0;
18/03/2020;6;Duarte;0;2;;;;0;1;
18/03/2020;8;El Seibo;0;0;;;;0;0;
18/03/2020;7;Elías Piña;0;0;;;;0;0;
18/03/2020;9;Espaillat;0;0;;;;0;0;
18/03/2020;30;Hato Mayor;0;0;;;;0;0;
18/03/2020;19;Hermanas Mirabal;0;2;;;;0;0;
18/03/2020;10;Independencia;0;0;;;;0;0;
18/03/2020;11;La Altagracia;0;2;;;;0;0;
18/03/2020;12;La Romana;0;0;;;;0;0;
18/03/2020;13;La Vega;0;0;;;;0;0;
18/03/2020;14;María Trinidad Sánchez;0;0;;;;0;0;
18/03/2020;28;Monseñor Nouel;0;0;;;;0;0;
18/03/2020;15;Monte Cristi;0;0;;;;0;0;
18/03/2020;29;Monte Plata;0;0;;;;0;0;
18/03/2020;16;Pedernales;0;0;;;;0;0;
18/03/2020;17;Peravia;0;0;;;;0;0;
18/03/2020;18;Puerto Plata;0;3;;;;0;0;
18/03/2020;20;Samaná;0;4;;;;0;0;
18/03/2020;21;San Cristóbal;0;0;;;;0;0;
18/03/2020;31;San José de Ocoa;0;0;;;;0;0;
18/03/2020;22;San Juan;0;1;;;;0;1;
18/03/2020;23;San Pedro de Macorís;0;1;;;;0;1;
18/03/2020;24;Sánchez Ramírez;0;0;;;;0;0;
18/03/2020;25;Santiago;0;3;;;;0;0;
18/03/2020;26;Santiago Rodríguez;0;0;;;;0;0;
18/03/2020;32;Santo Domingo;0;2;;;;0;0;
18/03/2020;27;Valverde;0;0;;;;0;0;
19/03/2020;2;Azua;0;0;;;;0;0;
19/03/2020;3;Baoruco;0;0;;;;0;0;
19/03/2020;4;Barahona;0;0;;;;0;0;
19/03/2020;5;Dajabón;0;0;;;;0;0;
19/03/2020;1;Distrito Nacional;0;14;;;;0;0;
19/03/2020;6;Duarte;0;2;;;;0;1;
19/03/2020;8;El Seibo;0;0;;;;0;0;
19/03/2020;7;Elías Piña;0;0;;;;0;0;
19/03/2020;9;Espaillat;0;0;;;;0;0;
